Raw Maker,Normalized Maker
AUDI AG,AUDI
BENTLEY MOTORS LIMITED,BENTLEY
BMW INDIA PVT LTD,BMW
BYD AUTO,BYD
BYD INDIA PRIVATE LIMITED,BYD
FERRARI SPA,FERRARI
FORCE MOTORS LIMITED,FORCE MOTORS
HONDA CARS INDIA LTD,HONDA CARS
HYUNDAI MOTOR INDIA LTD,HYUNDAI
ISUZU MOTORS INDIA PVT LTD,ISUZU
JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER
JAGUAR LAND ROVER LIMITED UK,JAGUAR LAND ROVER
KIA INDIA PRIVATE LIMITED,KIA
KIA MOTORS CORPN,KIA
LEXUS MOTORS LTD,LEXUS
MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA
MAHINDRA ELECTRIC AUTOMOBILE LTD,MAHINDRA ELECTRIC
MAHINDRA ELECTRIC MOBILITY LIMITED,MAHINDRA ELECTRIC
MARUTI SUZUKI INDIA LTD,MARUTI SUZUKI
MERCEDES -BENZ AG,MERCEDES-BENZ
MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ
JSW MG MOTOR INDIA PVT LTD,MG MOTOR
NISSAN MOTOR INDIA PVT LTD,NISSAN
PORSCHE AG GERMANY,PORSCHE
RENAULT INDIA PVT LTD,RENAULT
RENAULT NISSAN AUTOMOTIVE INDIA PRIVATE LIMITED,RENAULT NISSAN
ROLLS ROYCE,ROLLS ROYCE
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,SKODA AUTO VOLKSWAGEN
STELLANTIS AUTOMOBILES INDIA PVT LTD,STELLANTIS
STELLANTIS INDIA PVT LTD,STELLANTIS
TATA MOTORS LTD,TATA MOTORS
TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES
TATA PASSENGER ELECTRIC MOBILITY LTD,TATA PASSENGER ELECTRIC MOBILITY
TESLA INDIA MOTORS AND ENERGY PVT LTD,TESLA
TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA
VINFAST AUTO INDIA PVT LTD,VINFAST
VOLKSWAGEN AG,VOLKSWAGEN
VOLVO,VOLVO
VOLVO AUTO INDIA PVT LTD,VOLVO
