Office,Office Code
MULUGU,TG37
NARAYANPET,TG38
RTA ADILABAD,TG1
RTA BHADRADRI,TG28
RTA HANUMAKONDA,TG3
RTA IBRAHIMPATNAM,TG107
RTA JAGITYAL,TG21
RTA JANGOAN,TG27
RTA JANGOAN - TG27( 27-FEB-20,TG27
RTA JAYASHANKAR,TG25
RTA JAYASHANKAR - TG25( 27-FE,TG25
RTA JOGULAMBA,TG33
RTA JOGULAMBA - TG33( 27-FEB-,TG33
RTA KAMAREDDY,TG17
RTA KARIMNAGAR,TG2
RTA KARIMNAGAR - TG2( 26-FE,TG2
RTA KHAMMAM,TG4
RTA KOMRAMBHEEM,TG20
RTA MAHABOOBNAGAR,TG6
RTA MAHABUBABAD,TG26
RTA MAHABUBABAD - TG26( 27,TG26
RTA MANCHERIAL,TG19
RTA MEDAK,TG35
RTA MEDCHAL,TG8
RTA NAGARKURNOOL,TG31
RTA NALGONDA,TG5
RTA NIRMAL,TG18
RTA NIRMAL - TG18( 26-FEB-2026,TG18
RTA NIZAMABAD,TG16
RTA NIZAMABAD - TG16( 26-FEB-,TG16
RTA PEDDAPALLI,TG22
RTA RAJANNA,TG23
RTA RANGAREDDY,TG7
RTA SANGAREDDY,TG15
RTA SIDDIPET,TG36
RTA SURYAPET,TG29
RTA UPPAL,TG108
RTA VIKARABAD,TG34
RTA WANAPARTHY,TG32
RTA WARANGAL,TG24
RTA YADADRI,TG30
RTA-HYDERABAD-CZ,TG9
RTA-HYDERABAD-EZ,TG11
RTA-HYDERABAD-NZ,TG10
RTA-HYDERABAD-SZ,TG12
RTA-HYDERABAD-SZ - TG12( 27-FEB-,TG12
RTA-HYDERABAD-WZ,TG13
UNIT OFFICE ARMOOR,TG116
UNIT OFFICE ARMOOR - TG116(,TG116
UNIT OFFICE BHADRACHALAM,TG128
UNIT OFFICE BHODAN,TG216
UNIT OFFICE HUZURABAD,TG102
UNIT OFFICE KALWAKURTHY,TG131
UNIT OFFICE KODAD,TG129
UNIT OFFICE KORUTLA,TG121
UNIT OFFICE KUKATPALLY,TG208
UNIT OFFICE KUKATPALLY - TG208( 2,TG208
UNIT OFFICE MIRYALAGUDA,TG305
UNIT OFFICE PARGI,TG134
UNIT OFFICE PATANCHERUVU,TG415
UNIT OFFICE PATANCHERUVU - TG4,TG4
UNIT OFFICE PEBBAIR,TG132
UNIT OFFICE RAMAGUNDAM,TG122
UNIT OFFICE SATTUPALLI,TG304
UNIT OFFICE SATTUPALLI - TG,ALL
UNIT OFFICE SHADNAGAR,TG207
UNIT OFFICE WYRA,TG404
UNIT OFFICE ZAHIRABAD,TG215
