Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Jan,Feb,Mar,Apr,May,Jun,Total,Calculated Total,Total Variance,Total Check
NARAYANPET - TG38( 27-FEB-2026 ).xlsx,NARAYANPET,TG38,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA ADILABAD - TG1( 27-FEB-2026 ).xlsx,RTA ADILABAD,TG1,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,2,0,2,2,0,OK
RTA HANUMAKONDA - TG3( 02-MAR-2026 ).xlsx,RTA HANUMAKONDA,TG3,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA IBRAHIMPATNAM - TG107( 27-FEB-2026 ).xlsx,RTA IBRAHIMPATNAM,TG107,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA KAMAREDDY - TG17( 26-FEB-2026 ).xlsx,RTA KAMAREDDY,TG17,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,1,0,0,1,1,0,OK
RTA KHAMMAM - TG4( 27-FEB-2026 ).xlsx,RTA KHAMMAM,TG4,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA MAHABOOBNAGAR - TG6( 27-FEB-2026 ).xlsx,RTA MAHABOOBNAGAR,TG6,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,1,0,0,1,1,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,1,2,3,3,0,OK
RTA MEDCHAL - TG8( 27-FEB-2026 ).xlsx,RTA MEDCHAL,TG8,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,2,2,4,4,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,1,10,1,12,12,0,OK
RTA RANGAREDDY - TG7( 26-FEB-2026 ).xlsx,RTA RANGAREDDY,TG7,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,3,2,5,5,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,2,1,3,3,0,OK
RTA UPPAL - TG108( 27-FEB-2026 ).xlsx,RTA UPPAL,TG108,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA WANAPARTHY - TG32( 27-FEB-2026 ).xlsx,RTA WANAPARTHY,TG32,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA YADADRI - TG30( 27-FEB-2026 ).xlsx,RTA YADADRI,TG30,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA-HYDERABAD-CZ - TG9( 26-FEB-2026 ).xlsx,RTA-HYDERABAD-CZ,TG9,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA-HYDERABAD-CZ - TG9( 26-FEB-2026 ).xlsx,RTA-HYDERABAD-CZ,TG9,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,3,4,3,10,10,0,OK
RTA-HYDERABAD-CZ - TG9( 26-FEB-2026 ).xlsx,RTA-HYDERABAD-CZ,TG9,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,1,2,2,0,OK
RTA-HYDERABAD-EZ - TG11( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-EZ,TG11,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,1,0,0,1,1,0,OK
RTA-HYDERABAD-EZ - TG11( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-EZ,TG11,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,2,0,2,2,0,OK
RTA-HYDERABAD-NZ - TG10( 26-FEB-2026 ).xlsx,RTA-HYDERABAD-NZ,TG10,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA-HYDERABAD-NZ - TG10( 26-FEB-2026 ).xlsx,RTA-HYDERABAD-NZ,TG10,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,1,3,0,4,4,0,OK
RTA-HYDERABAD-SZ - TG12( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-SZ,TG12,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA-HYDERABAD-WZ - TG13( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-WZ,TG13,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,0,1,1,1,0,OK
RTA-HYDERABAD-WZ - TG13( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-WZ,TG13,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
RTA-HYDERABAD-WZ - TG13( 27-FEB-2026 ).xlsx,RTA-HYDERABAD-WZ,TG13,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,1,0,0,1,1,0,OK
UNIT OFFICE KUKATPALLY - TG208( 27-FEB-2026 ).xlsx,UNIT OFFICE KUKATPALLY,TG208,JAGUAR LAND ROVER INDIA LIMITED,JAGUAR LAND ROVER,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
UNIT OFFICE KUKATPALLY - TG208( 27-FEB-2026 ).xlsx,UNIT OFFICE KUKATPALLY,TG208,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,0,1,1,1,0,OK
UNIT OFFICE KUKATPALLY - TG208( 27-FEB-2026 ).xlsx,UNIT OFFICE KUKATPALLY,TG208,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,1,3,0,4,4,0,OK
UNIT OFFICE PATANCHERUVU - TG415( 27-FEB-2026 ).xlsx,UNIT OFFICE PATANCHERUVU,TG415,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel Hybrid,0,0,0,0,2,0,2,2,0,OK
UNIT OFFICE SHADNAGAR - TG207( 27-FEB-2026 ).xlsx,UNIT OFFICE SHADNAGAR,TG207,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel Hybrid,0,0,0,0,1,0,1,1,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,0,2,0,1,6,1,10,10,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,KIA INDIA PRIVATE LIMITED,KIA,Diesel,2,0,0,0,0,0,2,2,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,1,0,1,0,0,2,2,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,3,0,2,1,1,0,7,7,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,OTHERS,OTHERS,Diesel,0,0,1,0,0,0,1,1,0,OK
MULUGU - TG37( 27-FEB-2026 ).xlsx,MULUGU,TG37,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,1,1,0,1,3,0,6,6,0,OK
